STORECODE,Store,State,County,City,Shopping Center Name,Street Address,Wholesaler Selection,SELECTION CHECK,Notes,VendorNum,Mandate Status
FL103,103,FL,HILLSBOROUGH,SEFFNER ,MANGO SQUARE ,11782 EAST DR. MARTIN LUTHER KING JR. BLVD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL129,129,FL,HILLSBOROUGH,BRANDON ,KINGSWAY CROSSING ,1220 KINGSWAY ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL398,398,FL,HILLSBOROUGH,TAMPA ,NORTH POINTE PLAZA ,15151 NORTH DALE MABRY_HIGHWAY ,**No Service**,,,**No Service**,NoMandateNotSelling
FL399,399,FL,HILLSBOROUGH,TAMPA ,TWELVE OAKS PLAZA ,7018 W. WATERS AVENUE ,**No Service**,,,**No Service**,NoMandateNotSelling
FL511,511,FL,HILLSBOROUGH,TAMPA ,HILLSBOROUGH ,6001 NORTH NEBRASKA AVENUE ,**No Service**,,,**No Service**,NoMandateNotSelling
FL524,524,FL,HILLSBOROUGH,LUTZ ,NORTHGATE SQUARE ,3939 VAN DYKE ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL532,532,FL,HILLSBOROUGH,BRANDON ,BRANDON MALL ,939 WEST BRANDON BLVD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL582,582,FL,HILLSBOROUGH,TAMPA ,HILLSBORO PLAZA ,2724 W HILLSBOROUGH AVE ,**No Service**,,,**No Service**,NoMandateNotSelling
FL584,584,FL,HILLSBOROUGH,TAMPA ,NEW TAMPA CENTER ,19034 BRUCE B DOWNS BLVD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL611,611,FL,HILLSBOROUGH,TAMPA ,DALE MABRY SHOPPING CENTER ,1313 SOUTH DALE MABRY HIGHWAY ,**No Service**,,,**No Service**,NoMandateNotSelling
FL627,627,FL,HILLSBOROUGH,TAMPA ,PUBLIX AT WESTCHASE ,12139 WEST LINEBAUGH AVENUE ,**No Service**,,,**No Service**,NoMandateNotSelling
FL628,628,FL,HILLSBOROUGH,TAMPA ,PUBLIX ON BAYSHORE ,243_BAYSHORE BOULEVARD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL663,663,FL,HILLSBOROUGH,BRANDON ,LAKE BRANDON PLAZA ,11255 CAUSEWAY BOULEVARD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL685,685,FL,HILLSBOROUGH,TEMPLE TERRACE ,PUBLIX @ TEMPLE TERRACE ,5450 EAST BUSCH BOULEVARD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL712,712,FL,HILLSBOROUGH,RIVERVIEW ,GOOLSBY POINT SHOPPING CENTER ,11667 BOYETTE ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL732,732,FL,HILLSBOROUGH,SUN CITY CENTER ,KINGS CROSSING ,4854 SUN CITY CENTER BLVD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL754,754,FL,HILLSBOROUGH,TAMPA ,SHOPPES OF CITRUS PARK ,7835 GUNN HIGHWAY ,**No Service**,,,**No Service**,NoMandateNotSelling
FL793,793,FL,HILLSBOROUGH,PLANT CITY ,PLANT CITY CROSSING ,2515 THONOTOSASSA ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL831,831,FL,HILLSBOROUGH,LUTZ ,LUTZ LAKE CROSSING ,19221 NORTH DALE MABRY HIGHWAY ,**No Service**,,,**No Service**,NoMandateNotSelling
FL834,834,FL,HILLSBOROUGH,LUTZ ,APEX ,16560 NORTH NEBRASKA AVENUE ,**No Service**,,,**No Service**,NoMandateNotSelling
FL840,840,FL,HILLSBOROUGH,TAMPA ,CARROLWOOD SHOPPING CENTER ,10015 NORTH DALE MABRY HWY ,**No Service**,,,**No Service**,NoMandateNotSelling
FL876,876,FL,HILLSBOROUGH,TAMPA ,CROSS CREEK COMMONS ,10928 CROSS CREEK BOULEVARD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL878,878,FL,HILLSBOROUGH,VALRICO ,SHOPPES OF LITHIA ,3461 LITHIA PINECREST ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL890,890,FL,HILLSBOROUGH,RIVERVIEW ,WINTHROP TOWN CENTER ,11109 WINTHROP MARKET ST ,**No Service**,,,**No Service**,MandateNotSelling
FL1032,1032,FL,HILLSBOROUGH,RIVERVIEW ,SUMMERFIELD CROSSINGS ,13154 U.S. HIGHWAY 301 ,**No Service**,,,**No Service**,NoMandateNotSelling
FL1088,1088,FL,HILLSBOROUGH,TAMPA ,NORTH BAY COMMERCE CENTER ,8975 RACE TRACK ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL1113,1113,FL,HILLSBOROUGH,APOLLO BEACH ,PARADISE SHOPPES OF APOLLO BEACH ,6434 US HIGHWAY 41 NORTH ,**No Service**,,,**No Service**,NoMandateNotSelling
FL1135,1135,FL,HILLSBOROUGH,LITHIA ,PUBLIX AT FISHHAWK RANCH ,5642 FISHHAWK CROSSING BOULEVARD ,**No Service**,,,**No Service**,MandateNotSelling
FL1170,1170,FL,HILLSBOROUGH,TAMPA ,CARROLLWOOD SQUARE ,5371 EHRLICH ROAD ,**No Service**,,,**No Service**,NoMandateNotSelling
FL1182,1182,FL,HILLSBOROUGH,TAMPA ,PUBLIX SUPER MARKET AT HYDE PARK ,2401 WEST AZEELE STREET ,**No Service**,,,**No Service**,MandateNotSelling
